sample_index,metadata_id,original_dataset_index,prompt,baseline_front_similarity,baseline_coverage_score,baseline_centering_score,baseline_connectivity_score,baseline_border_margin_score,baseline_mean_score,baseline_success,lora_front_similarity,lora_coverage_score,lora_centering_score,lora_connectivity_score,lora_border_margin_score,lora_mean_score,lora_success,delta_mean_score
0,7088,73134,"put a moustache on him. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",,,,,,0.0,0.0,,,,,,0.0,0.0,0.0
1,4314,44395,"add a flower crown. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.746376,0.148272,0.989442,0.524696,1.0,0.723166,1.0,,,,,,0.0,0.0,-0.723166
2,12711,131954,"have more skulls. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.631112,0.088152,0.995104,1.0,1.0,0.69132,1.0,0.640072,0.362645,0.997782,1.0,1.0,0.746267,1.0,0.054947
3,6415,66233,"as a painting by Vincent Van Gogh--. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.314632,0.183027,0.991127,1.0,1.0,0.628856,1.0,0.303512,0.111215,0.977748,0.548433,1.0,0.538576,1.0,-0.09028
4,13841,143804,"make the cypress trees purple. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.607747,0.239162,0.975467,1.0,1.0,0.680114,1.0,0.591061,0.592643,0.982761,1.0,1.0,0.770802,1.0,0.090688
5,11847,123215,"As an action figure. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.475045,0.113499,0.987799,0.733716,1.0,0.624624,1.0,0.493132,0.176644,0.986329,0.94641,1.0,0.684393,1.0,0.059769
6,8899,91652,"as a japanese woodcut. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.519524,0.100351,0.98434,0.7326,1.0,0.655794,1.0,0.573781,0.655875,0.967788,0.888564,1.0,0.74593,1.0,0.090136
7,10774,111786,"make it a poster for a Lord of the Rings movie. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.491516,0.577916,0.954534,1.0,1.0,0.748074,1.0,0.455337,0.235535,0.965021,1.0,1.0,0.648588,1.0,-0.099486
8,10518,109013,"Make it a Vincent van Gogh painting. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.360757,0.196568,0.988891,1.0,1.0,0.611697,1.0,0.38789,0.262216,0.98255,0.938167,1.0,0.609212,1.0,-0.002485
9,2857,29226,"make the panthers purple. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.625155,0.564941,0.98569,1.0,1.0,0.788022,1.0,0.540893,0.540859,0.977979,1.0,1.0,0.755502,1.0,-0.03252
10,9141,94383,"make it a golden fox. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.60449,0.26838,0.958405,1.0,1.0,0.709467,1.0,0.609803,0.25783,0.973597,1.0,1.0,0.688997,1.0,-0.02047
11,7506,77467,"Make Terry wear a bowler hat. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.520581,0.136945,0.985196,0.940116,1.0,0.665121,1.0,0.44356,0.225159,0.976518,1.0,1.0,0.619465,1.0,-0.045656
12,2029,20607,"make the painting by Van Gogh. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.421556,0.172076,0.986971,1.0,1.0,0.63446,1.0,0.469329,0.288862,0.991109,1.0,1.0,0.644058,1.0,0.009598
13,9265,95846,"Add a viking helmet to the model. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.365702,0.105416,0.985351,0.771379,1.0,0.61286,1.0,,,,,,0.0,0.0,-0.61286
14,6277,64778,"make it look like a pencil drawing. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.648982,0.09627,0.988338,1.0,1.0,0.722418,1.0,0.674992,0.623947,0.995009,1.0,1.0,0.777723,1.0,0.055305
15,2913,29824,"turn into a ladybug. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.324413,0.184047,0.963906,0.828229,1.0,0.57009,1.0,0.336849,0.198635,0.975328,1.0,1.0,0.574629,1.0,0.004539
